station_key,date,month,day_of_week,public_holiday,school_holiday,daily_total,volume,hour,full_name,road_functional_hierarchy,lga,latitude,longitude,crash_count,crash_severity_sum,crash_injury_sum,crash_fatal_count,crash_wet_count
55306,2022-04-10 00:00:00+00,4,7,False,False,30717,755.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,3,0,0,1
55306,2022-04-12 00:00:00+00,4,2,False,False,39233,210.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,1,0,0,0
55306,2022-04-13 00:00:00+00,4,3,False,False,39631,307.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,2,1,0,0
55306,2022-04-14 00:00:00+00,4,4,False,False,40607,386.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,2,1,0,1
55306,2022-04-17 00:00:00+00,4,7,False,False,24549,556.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,3,0,0,1
55306,2022-04-19 00:00:00+00,4,2,False,False,34218,189.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,1,0,0,0
55306,2022-04-20 00:00:00+00,4,3,False,False,37091,227.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,2,1,0,0
55306,2022-04-21 00:00:00+00,4,4,False,False,37418,250.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,2,1,0,1
55306,2022-04-22 00:00:00+00,4,5,False,False,37996,313.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,8,5,1,1
55306,2022-04-23 00:00:00+00,4,6,False,False,33602,583.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,0,0,0,0,0
55306,2022-04-24 00:00:00+00,4,7,False,False,29551,790.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,3,3,0,0,1
55306,2022-04-26 00:00:00+00,4,2,False,False,37307,227.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,1,0,0,0
55306,2022-04-27 00:00:00+00,4,3,False,False,39501,187.0,0,"Western Distributor, West of Sussex Street",Motorway,Sydney,-33.86618,151.203201,1,2,1,0,0
