station_key,station_id,traffic_direction_name,cardinal_direction_name,classification_type,year,period,traffic_count,data_availability,data_reliability
55363,2309,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,WEEKENDS,20576,-1,-1
55363,2309,COUNTER,SOUTH,UNCLASSIFIED,2019,WEEKENDS,10674,-1,-1
55363,2309,COUNTER,SOUTH,UNCLASSIFIED,2019,PM PEAK,3476,90,93
55363,2309,PRESCRIBED,NORTH,UNCLASSIFIED,2019,AM PEAK,2733,89,92
55363,2309,COUNTER,SOUTH,UNCLASSIFIED,2019,ALL DAYS,12796,89,96
55363,2309,PRESCRIBED,NORTH,UNCLASSIFIED,2019,PM PEAK,2850,90,91
55363,2309,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,AM PEAK,6319,-1,-1
55363,2309,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,OFF PEAK,12711,-1,-1
55385,2379,PRESCRIBED,EAST,UNCLASSIFIED,2019,AM PEAK,16344,80,88
55385,2379,PRESCRIBED,EAST,UNCLASSIFIED,2019,PM PEAK,11129,81,89
55385,2379,PRESCRIBED,EAST,UNCLASSIFIED,2019,ALL DAYS,52675,81,94
55385,2379,PRESCRIBED,EAST,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,37914,69,100
55385,2379,PRESCRIBED,EAST,UNCLASSIFIED,2019,WEEKENDS,48453,-1,-1
55385,2379,PRESCRIBED,EAST,UNCLASSIFIED,2019,OFF PEAK,26685,81,94
55385,2379,PRESCRIBED,EAST,UNCLASSIFIED,2019,WEEKDAYS,54158,-1,-1
55393,2384,COUNTER,EAST,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,13532,76,100
55393,2384,COUNTER,EAST,UNCLASSIFIED,2019,PM PEAK,4130,85,96
55393,2384,COUNTER,EAST,UNCLASSIFIED,2019,AM PEAK,4894,84,87
55393,2384,COUNTER,EAST,UNCLASSIFIED,2019,OFF PEAK,9681,84,98
55393,2384,COUNTER,EAST,UNCLASSIFIED,2019,WEEKDAYS,18705,-1,-1
55393,2384,COUNTER,EAST,UNCLASSIFIED,2019,ALL DAYS,18431,84,97
55393,2384,COUNTER,EAST,UNCLASSIFIED,2019,WEEKENDS,17834,-1,-1
55394,2385,PRESCRIBED,NORTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,15829,76,100
55394,2385,PRESCRIBED,NORTH,UNCLASSIFIED,2019,WEEKENDS,21080,-1,-1
55394,2385,PRESCRIBED,NORTH,UNCLASSIFIED,2019,AM PEAK,6045,99,89
55394,2385,PRESCRIBED,NORTH,UNCLASSIFIED,2019,OFF PEAK,12525,99,98
55394,2385,PRESCRIBED,NORTH,UNCLASSIFIED,2019,PM PEAK,6315,100,95
55394,2385,PRESCRIBED,NORTH,UNCLASSIFIED,2019,ALL DAYS,23816,99,96
55394,2385,PRESCRIBED,NORTH,UNCLASSIFIED,2019,WEEKDAYS,24885,-1,-1
55411,2396,PRESCRIBED,SOUTH,UNCLASSIFIED,2019,WEEKDAYS,9673,-1,-1
55411,2396,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,PM PEAK,4622,-1,-1
55411,2396,COUNTER,NORTH,UNCLASSIFIED,2019,AM PEAK,2654,86,96
55411,2396,COUNTER,NORTH,UNCLASSIFIED,2019,WEEKDAYS,9924,-1,-1
55411,2396,COUNTER,NORTH,UNCLASSIFIED,2019,WEEKENDS,9669,-1,-1
55411,2396,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,17121,-1,-1
55411,2396,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,WEEKENDS,19444,-1,-1
55411,2396,COUNTER,NORTH,UNCLASSIFIED,2019,OFF PEAK,5378,86,98
55411,2396,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,WEEKDAYS,19597,-1,-1
55411,2396,PRESCRIBED,SOUTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,8328,53,100
55411,2396,COUNTER,NORTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,8793,53,100
55411,2396,COUNTER,NORTH,UNCLASSIFIED,2019,PM PEAK,1892,86,100
55411,2396,PRESCRIBED,SOUTH,UNCLASSIFIED,2019,WEEKENDS,9775,-1,-1
55411,2396,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,OFF PEAK,10958,-1,-1
55411,2396,COUNTER,NORTH,UNCLASSIFIED,2019,ALL DAYS,9825,86,99
55411,2396,PRESCRIBED,SOUTH,UNCLASSIFIED,2019,OFF PEAK,5580,86,99
55411,2396,PRESCRIBED,SOUTH,UNCLASSIFIED,2019,PM PEAK,2730,86,97
55411,2396,PRESCRIBED,SOUTH,UNCLASSIFIED,2019,ALL DAYS,9684,86,99
55411,2396,PRESCRIBED,SOUTH,UNCLASSIFIED,2019,AM PEAK,1363,86,97
55411,2396,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,AM PEAK,4017,-1,-1
55411,2396,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,ALL DAYS,19509,-1,-1
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2019,WEEKENDS,7713,-1,-1
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,5565,76,100
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2019,OFF PEAK,4177,99,96
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2019,WEEKDAYS,8916,-1,-1
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2019,ALL DAYS,8607,99,95
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2019,AM PEAK,2774,100,88
55423,2413,PRESCRIBED,NORTH,UNCLASSIFIED,2019,PM PEAK,1965,100,92
55430,3018,COUNTER,SOUTH,UNCLASSIFIED,2019,WEEKDAYS,19993,-1,-1
55430,3018,COUNTER,SOUTH,UNCLASSIFIED,2019,OFF PEAK,9195,8,93
55430,3018,PRESCRIBED,NORTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,14991,46,100
55430,3018,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,30700,-1,-1
55430,3018,COUNTER,SOUTH,UNCLASSIFIED,2019,WEEKENDS,15937,-1,-1
55430,3018,COUNTER,SOUTH,UNCLASSIFIED,2019,AM PEAK,4514,8,90
55430,3018,COUNTER,SOUTH,UNCLASSIFIED,2019,PUBLIC HOLIDAYS,15709,7,100
55430,3018,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,WEEKENDS,34469,-1,-1
55430,3018,PRESCRIBED,NORTH,UNCLASSIFIED,2019,WEEKENDS,18532,-1,-1
55430,3018,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,PM PEAK,11849,-1,-1
55430,3018,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,AM PEAK,11434,-1,-1
55430,3018,PRESCRIBED,NORTH,UNCLASSIFIED,2019,ALL DAYS,21298,71,96
55430,3018,COUNTER,SOUTH,UNCLASSIFIED,2019,ALL DAYS,18931,8,90
55430,3018,PRESCRIBED AND COUNTER,BOTH,UNCLASSIFIED,2019,ALL DAYS,40229,-1,-1
55430,3018,PRESCRIBED,NORTH,UNCLASSIFIED,2019,AM PEAK,6920,71,92
55430,3018,PRESCRIBED,NORTH,UNCLASSIFIED,2019,WEEKDAYS,22139,-1,-1
